fips,population,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,votergap20,votergap16
39109,101256,1.57,5.884,50.688,4.4,51.868,11.3,19.7,26.9,34.1,88.3,-44.3455461,-45.62
39135,41422,0.748,2.787,50.444,4.8,49.516,12.6,12.2,27.6,29.3,331.2,-57.4487597,-53.983
39157,91137,2.592,3.151,50.507,5.4,46.128,13.4,14.7,31.2,35,340.1,-39.9159378,-35.447
40001,21857,6.544,55.635,49.596,5.9,31.386,21.5,12.9,35.9,38.6,55.6,-59.0602139,-52.242
40003,5481,5.334,11.503,39.877,2.9,51.885,14.3,20.3,37.8,36,39.6,-77.1883289,-76.02
40023,14872,3.854,35.754,51.457,7.4,29.652,20.6,14.2,33.5,36.2,62.7,-62.0027435,-57.907
40039,26717,17.079,16.225,50.094,3.9,45.574,14.5,27.3,28,30.9,73.6,-53.2316902,-54.278
40041,40555,3.659,33.187,50.681,4.8,36.424,15.6,16.4,33.2,33.4,27.8,-58.480719,-54.145
40049,27113,8.229,17.705,50.622,4.5,40.774,16.3,15,31.1,33.8,57.2,-64.2098517,-60.687
40053,4317,4.378,7.407,50.696,2.8,49.774,9.8,22.1,36.7,36.4,47.6,-73.4950584,-70
40055,5830,11.203,15.519,42.768,5.4,34.872,19.9,13.2,30.1,32.7,4.5,-64.7237709,-61.129
40061,12393,4.274,25.356,50.167,7.6,35.313,22.2,11.4,39.9,38.5,3.5,-67.4511368,-59.463
40067,6319,10.229,13.193,49.522,5.5,32.645,17.4,11.4,32.7,36,32.9,-71.572327,-65.672
40075,9101,11.516,16.907,50.262,4.5,36.699,16.1,18.5,31.8,30.8,16.7,-57.6014006,-52.365
40079,49915,6.757,22.568,49.884,6.7,36.627,19.4,12.9,33.4,39.1,15.4,-63.3554906,-58.73
40093,7189,9.728,7.361,50.727,3.1,54.107,13,16.2,33.3,31.6,32.7,-79.7231036,-77.376
40095,15014,16.683,19.129,50.283,5.3,38.517,19.6,14.2,38.7,36.1,7.9,-62.5164908,-56.625
40121,45211,4.822,27.012,49.256,5.5,39.9,15.5,15.6,34.9,32.4,113,-56.2541843,-52.383
40145,70394,5.893,23.042,50.527,4,58.921,10.8,21.5,28.8,33.5,1058.1,-50.090554,-52.026
40151,8418,6.685,10.716,46.281,2.6,48.831,11.7,25.7,33.9,33.4,11.6,-65.3072322,-66.139
40153,19959,12.603,9.147,46.987,4.9,56.067,13.9,18.8,31,38.6,6.9,-72.0102762,-72.072
41037,7089,8.06,7.728,46.788,7.8,40.328,14.5,18.3,17.9,28,11.2,-61.3797845,-62.218
41041,46293,8.733,10.124,51.45,6.8,40.226,11.6,24.3,17.9,28.5,77.2,16.0287704,9.981
41053,78122,13.255,9.318,51.657,5.7,52.626,9.5,28.9,15.9,34.5,1704.9,-1.6876851,-7
41055,1711,6.845,5.179,50.238,6.3,53.277,7.5,18.5,17.8,27.1,101.8,-54.7185431,-53.306
42003,1218494,2.001,19.306,51.719,4.8,52.385,6.6,36.9,21.8,26.7,195.5,20.388255,16.408
42009,49579,1.13,2.178,50.107,5.9,46.89,14.3,13.7,28.1,33.7,392.3,-67.6651919,-67.401
