fips,never,rarely,sometimes,frequently,always
5067,11.6,10.3,13.5,17.9,46.8
5069,4.2,3.6,17.2,17.3,57.7
5071,14.4,10.3,20.5,22.1,32.8
5073,12,8.2,7.8,23.4,48.6
5075,8.5,12.8,15.3,29.8,33.7
5077,10.3,3.2,19.5,26.3,40.7
5079,3.5,1.6,19.4,20.1,55.4
5081,7.4,12.1,10.6,20.1,49.9
5083,14.8,11,12,14.3,47.9
5085,4.8,4.5,13.6,29.7,47.4
5087,7.5,8.8,15.9,11.4,56.4
5089,17.1,11.2,11.9,10.8,49
5091,6.4,12.4,10.6,21.9,48.7
5093,3.3,10.9,13.4,28.4,44
5095,6.8,12.8,12.7,27.1,40.6
5097,8.1,9.5,13.6,16.6,52.1
5099,14.3,4.8,8.4,22.4,50.1
5101,10.7,14,8.4,26.1,40.8
5103,15.1,9.7,6,24.2,44.9
5105,9.8,5.1,8,36.7,40.4
5107,5.2,6.1,13.4,27.6,47.7
5109,6.4,6.1,20,17.6,50.1
5111,7.7,9.8,14.1,28.7,39.7
5113,18,8,21.7,7.6,44.6
5115,8.2,15.1,18.1,28.5,30.2
5117,6.2,17,10.3,27.3,39.1
5119,2.8,2.7,12.6,17.5,64.4
5121,5.1,14.5,20.3,28.9,31.1
5123,8.7,0.7,28.9,26.7,35
5125,6.6,4.4,15.4,21.2,52.4
5127,15.5,14,12.4,12.3,45.8
5129,10,8.8,12.5,14.9,53.8
5131,12.1,14.2,15.7,20.8,37.2
5133,12,9.3,15.5,16.5,46.7
5135,6.7,15.8,22,22.2,33.3
5137,6.7,9.2,11,23.4,49.8
5139,11.6,17.9,9.8,26.2,34.4
5141,3.3,6,9.6,27.2,53.9
5143,3.4,2.8,10.1,18.6,65.1
5145,2.6,5.4,15.2,27.7,49.1
5147,5.9,4.8,20.8,23.1,45.4
5149,11.6,10,11.2,19.8,47.4
6001,1.9,0.8,5.5,12.3,79.5
6003,2.5,8.5,8.8,19,61.2
6005,4.5,1.3,9.9,18.8,65.5
6007,1.5,4.3,11.1,20.4,62.6
6009,4.5,1.9,9.8,27.6,56.2
6011,2.7,3.1,9.2,15.1,70
6013,1.8,1.6,3.9,12.1,80.6
6015,1,13.5,11.2,19.6,54.7
